id,signe,definition
3202,SERVIETTE,serviette
883,SECONDE,"seconde, tic tac"
1124,TOMBER,(se) (faire) tomber
1249,DEMAIN,demain
1874,NS:CORPUS(BENT5),"corpus, Corpus LSFB"
1679,ORIGINE.VEINE,"origine, sang originel"
3730,NS:INES(I-BOUCLE),Inés
3992,PLONGER,"plonger, plongée"
163,DEPEND,"ça dépend, parfois, dépendre, divers"
1726,FEVRIER,février
1983,RACINE,Racine
3798,NS:FLORENE(ORAGE),Florence
3114,PAQUES.VENISE,pâques
3571,OREILLETTE,"oreillette, ecouteur"
1143,ARGENT,"argent, monnaie, payer, prix, acheter"
2787,BANQUE.INTELLO,banque
2350,NS:ROUMANIE(R),Roumanie
1027,PEAU.VISAGE,"peau, joue"
593,PENSER,"penser, pensée, retenir en pensée"
3662,AVEUGLE.COLLE,"aveugle, fermer les yeux"
1400,EN-FACE,"face à face, en face (l'un de l'autre)"
3895,NS:TIMOTHY(TI),Thimoty
1550,SEC.SEC,sec
1930,BOITE-VITESSE,"boite à vitesse, levier de vitesse"
214,ENTENDANT,entendant
3034,NS:JESUS(MID-MAINS),"Jésus, Jésus-Christ"
3058,RENOVER,"rénover, travaux"
3556,VOIR.CHEVAL,"(se) focaliser, ne pas regarder ailleurs, oeillères"
3318,BIC,"bic, stylo à bille"
2479,CHANCE(ASL),"luck, lucky, chance"
3887,MALENTENDANT.MAUVAIS,malentendant
1491,LAMPE,"lampe, lumière"
12,AGE,"âge, âgé, vieux, vieille, an, anniversaire"
1947,C-EST-LA-VIE,"c'est ainsi, c'est la vie, rien à faire"
1167,KAYAK.RAMER,"kayak, ramer, pagayer"
3674,BEBE.MECHANT,bébé
2740,HASARD,"chance, hasard, par hasard"
2100,PIRE.Y,pire
2034,NS:AUSTRALIE(NEUTRE-JUILLET),Australie
2647,PHARE,phare de voiture
3107,TAXI.EPELER,taxi
2084,NS:MAURICE(C-BARBE),maurice
3861,TUBA,tuba de plongée
51,ATTENDRE.STOP,"stop, attendre, non, prudent, attention, ne pas bouger, laisser"
1575,CONSCIENT-PASSIF,"conscience, inconscient"
4072,DESHABILLER,"se déshabiller, enlever ses vêtements, se mettre nu, striptease"
1798,ON-VERRA,"on verra, on va voir, peut-être"
3179,TOI-MEME,"toi-même, eux-même"
1055,COUPER,"couper avec des ciseaux, couper une conversation"
210,ENFANT,enfant
2875,METRE-CUBE,"mètre cube, m³"
3296,TEMPS-PASSE,"le temps qui passe, jusqu'aujourd'hui, avancer"
2030,VOCABULAIRE,vocabulaire
688,LOGIQUE,"logique, logistique, évident, évidence"
1559,POMME,"pomme, pommier"
607,RENFORCER,"renfort, renforcer"
3913,OLYMPIQUE,olympique
3927,REPARER.CHEZ,"réparer, réparation"
1959,EMOTION,"émotion, émotivité, émotif, avoir la chair de poule"
3612,NS:JEAN-JACQUES(MECHE),Jean-Jacques Vandendriesche
3200,NS:MAROC(AGRESSIF),"Maroc, marocain"
1718,PERROQUET,"perroquet, ara, répéter, aigle"
3964,PETIT.MINORITE,"minorité, petit, diminuer, bas"
1531,TAPIS,tapis
3194,ABOYER,"aboyer, ouaf, wouf"
261,FINIR.TENNIS,"finir, c'est fini, c'est terminé"
947,FROID,"froid, avoir froid"
1831,VENTRE,"ventre, estomac"
4086,BAILLER.BRAS,"bailler, s'étirer les bras, être fatigué, s'ennuyer"
328,LUNETTES,lunettes
2669,S-IL-VOUS-PLAIT.I,"s'il vous plait, s'il te plait, svp, stp"
3519,SEPARER.DISTANCE,"séparer à distance, eloigner"
2607,GIRAFE(LSF),Girafe (LSF)
1689,INDEPENDANCE,"indépendant, indépendance, libre"
2141,SAPIN,sapin
1696,NS:ABBE-EPEE(CHAUVE-EPEE),abbé de l'Epée
45,ART,"art, artiste, peintre"
1580,CHEVAL,cheval
3918,ROULER,rouler
3481,NS:HYPPOLITE(LUNETTES.C),Hyppolite
1045,RESTER,"rester, habiter"
326,LOUER,"louer, location, loyer"
783,LUXE,"luxe, luxueux"
2151,MARS,mars
61,AUTRE,"autre, mais"
686,OBLIGER.DEVOIR,"obliger, obligation"
1110,PAUVRE,"pauvre, misérable"
1578,T-SHIRT,t-shirt
2186,CHASSER,"chasser, fusil"
1821,CONSERVER,"conserver, conservation, collection"
2335,PC-TOUR,"PC, tour"
1709,PRESENTER,"présenter, présentation, présentateur"
911,SAUVER,"sauver, sauvetage"
617,ADULTE,"adulte, grand"
1320,COUDRE,"couture, coudre, tailleur"
1667,NS:NAMUR(2),"Namur, namurois"
2024,NS:BRUNO(B),Bruno
23,AN-5,cinq ans
1254,CATHOLIQUE,"catholique, chrétien"
3030,MAÏS,maïs
1070,APPRENDRE.ENSEIGNER,"apprendre, enseigner, enseignant, cours, éducation, enseignement"
635,FORME,"forme, en forme"
3559,PARTIE.VIRER,partie
2980,JANVIER.CUISINE,janvier
1805,LAPIN,lapin
2304,TAIRE.MOI,"se taire, muet, ta gueule"
4028,NS:ESB(SILENCE),"ESB, Ecurie La Silencieuse de Bruxelles, La Silencieuse"
1198,RIEN-A-VOIR,rien à voir
1085,ACHETER,"acheter, course, faire les courses, payer"
2653,BLESSER.HANDICAP,blesser
