id,signe,definition
8,ACCORD,"accord, accorder, d'accord"
113,COMBIEN,combien
2066,DETESTER.RIEN,"haine, détester"
546,TUER.REVOLVER,"tuer avec un révolver, fusil"
3669,COEUR.BATTRE,coeur bat
173,DIFFERENT,"différent, différence, différemment, autre, autrement"
740,ENCADRER,"encadrer, structure, structurer"
239,FACEBOOK,facebook
2337,OUVRIR.8,"ouvrir, ouverture"
3549,VENGEANCE.V,"se venger, vangeance"
2183,NS:SAUVAGE(SAUVAGE),Sauvage (nom de famille)
1197,INTERIEUR,à l'intérieur
2135,JUILLET,juillet
1938,MADAME,madame
3536,NS:BERCHEM(SOUPE-JOUE),"Berchem-Sainte-Agathe, Institut Alexandre Herlin"
1293,NS:DISNEY(G-CERVEAU),"Walt Disney, disney"
2852,NS:LUDIVINE(L),Ludivine
2465,SOUTIEN-GORGE,soutien-gorge
3390,NS:PAUL(166),Paul Cortvriend
458,QUAND.8,quand
1863,EVALUATION,"évaluer, évaluation"
255,FICHIER,fichier
3080,AMEN,"amen, signe de la croix"
1097,RAPIDE,"rapide, vite"
3104,SONNER,sonner
2139,BON-SAVEUR,"bon, délicieux, meilleur"
2065,NIVEAU.BRAS,niveau haut
512,SOIREE,"soir, soirée"
2381,VOLER.PRENDRE,"vol, voler, prendre"
2790,AU-REVOIR.MAMAN,"au revoir, salut, à bientôt"
1914,AVIS,"avis, opinion"
2626,COMPRENDRE-RIEN,"ne rien comprendre, ne pas comprendre"
2210,THE,thé
1493,HAMBURGER,hamburger
1889,NS:GHLIN(ESPRIT),"Ghlin, Institut Provincial Enseignement Spécialisé, esprit"
1370,CARESSER,"caresse, caresser, affection, affectueux, tendre, tendresse"
1902,DE:REMPLIR-VENTRE,"acquis, augmenter"
2102,LISTE.POINT,liste
1289,AN-CHAQUE,"un an, chaque année, tous les ans"
2167,DE:OCCASION-PROFITE,"motiver, motivé, occasion, profiter, se frotter les mains, content(e), avoir envie"
870,PERDRE.COU,"perdu, raté"
863,SERVICE,"service, servir, garder (les enfants), à quoi ça sert, ça sert"
1163,MACHINE,"machine, moteur, réfléchir"
1690,NS:BERCHEM(THE),"Berchem-Sainte-Agathe, Institut Alexandre Herlin"
2656,NS:DELAPORTE(NOTER),Yves Delaporte
442,POUVOIR,"pouvoir, capacité, capable, possession"
3313,NS:JOHAN(J-SURF),Johan Verstraeten
3960,PRESENT.PALM,présent
816,SITUATION,"situation, situer"
2266,DE:AU-BOUT,"jusqu'au bout, à bout, à fond, dur"
3253,COMMUNAUTE,"communauté, groupe"
763,MATERIEL,"matériel, objets"
3389,PLONGEE.PARANO,"plonger, plongée sous-marine"
1296,REJOINDRE,"rejoindre, inclure, dans, faire partie de, participer, (y) compris, dedans"
2531,OR,or
2727,CHOC.SURPRISE,"choc, choqué,choquant, surpris, surprenant"
344,MEILLEUR,meilleur
3474,NS:ALONA(N-SALON),Alona
2968,PELLE,Pelle
3650,SIFFLER.APPAREIL,"siffler, appreils sifflent"
1380,ENDORMIR,"endormir, s'endormir, dormir, fermer les yeux"
1028,MONSIEUR,monsieur
1642,FAIRE.FORMATION,faire
2567,HABITER.PLACE,habiter
984,CHAUVE-SOURIS.VOLER,chauve-souris
2256,DE:FAIM-RRR,"avoir faim, avoir le ventre qui gargouille"
1067,ENSEMBLE,ensemble
2525,MOIS-10,dix mois
2705,ATTRACTION,parc d'attraction
4010,DE:INTERESSANT-PAS,"pas intéressant, ne pas écouter, bof, ridicule"
525,TASSE,(boire une) tasse
1827,RALER,"râler, bouder"
539,TRAVAIL.ACTIF,"travail, travailler, boulot"
1547,VAISSELLE,"faire la vaisselle, vaisselle"
1244,VITAMINE,"vitamine, énergie"
3297,CANCER.TRONC,cancer
1606,LOTTO,"lotto, lotterie"
2345,NS:BASTOGNE(ETOILE),Bastogne
789,PREPARER,"préparer, préparation"
560,VOIR,"voir, vu, regarder"
709,CALCULER.COMPTER,"compter, compte, calculer, mathématique"
1535,FRITE,frite
3301,NS:THIERRY(MASTER-1H),Thierry
3742,NS:ASIE(A-ENDROIT),"Asie, Asiatique"
3934,PARENTS.INVERSE,parents
123,COMPRENDRE,"comprendre, compris"
137,COPIER,"copier, copie, photo, modèle"
2231,DE:PAF,"se tromper, faire des erreurs, aller droit dans le mur"
3344,PLAFONNAGE,"plafonner, plafonnage"
3963,SENS.2,"deux sens, choix, sortes, chemin"
3586,FACEBOOK.VISAGE-LIVRE,facebook
998,VENTILATEUR.3,"ventilateur, ventiler"
3326,SALON.8,Salon
673,VISAGE,"visage, portrait"
3004,FLEUR.G,"fleur, jardin"
3890,NS:ANNE-MARIE(CISEAUX-VENTRE),Anne-Marie
3886,NS:INDECIPHERABLE(CALIN),inconnu
2292,OS,os
416,PASSER.APRES,"c'est passé, laisser tomber, éliminer, perdre"
4100,PRETRE.CROIX,"prêtre, curé, pasteur"
3196,QUE.METRO,"que, comparaison"
1683,REGION,"région, pays, endroit"
3235,STATUE,statue
2342,PETIT.ENFANT,petit
2887,BONJOUR.SALUT,"bonjour, salut, non merci, merci"
2514,NS:ROME(R-PRENOM),Rome
2717,PECHE.FAUTE,péché
3126,PORNO,"porno, pornographie"
4055,RONFLER,"ronfler, ronfleur"
71,BEAUCOUP.F,"beaucoup, trop, plein, très"
681,CAFE,café
3704,NS:BERNARD(N-MECHE),Bernard Le Maire
3453,NS:MASO(S-VITESSE),Maso
3489,TOMBOLA,"jeu de hasard, par hasard, tombola, tirer au sort, tirage au sort"
2621,ARTICLE,article
4033,NS:CLAUDE(PIERRE),Claude
2855,SAMEDI,samedi
3930,FRIGO.COFFRE,"frigo, coffre, trésor"
3369,GRIPPE,grippe
2929,DETRUIRE,"détruire, casser"
522,SUPERIEUR,"supérieur, au dessus, haut"
3551,WORLD(IS),"world, monde"
1534,FOUR,four
4031,NS:JOSEPH(AGE)+,Joseph Theys (ami de Martine Fraiture)
3343,NS:MONCEAU(MER),Ateliers du Monceau
73,BELLE,"beau, belle"
1843,DOCTEUR.PENSER,"docteur, médecin"
1335,ELEVE,élève
3641,EXCLUSION.ATTITUDE,"rejeter, exclure, exclusion, froid, froideur"
3084,RIZ.R,riz
1411,CA-ARRIVE,ça (cela) arrive
2483,STABLE,"stable, identique, même, égal"
3206,NS:WIM(61),WILLARD
1770,PLEURER.BEAUCOUP,pleurer toutes les larmes de son corps
2776,MORCEAU.N,morceau
477,REGARDER.CHERCHER,"regarder, rechercher, observer, anthropologie"
3282,VAGIN.TRIANGLE,vagin
3999,DE:PEUT-ETRE,"peut-être, par hasard"
155,DECIDER,décider
1351,EQUILIBRE,"équilibre, équilibré"
359,MOMENT,"moment, période"
3892,NS:ARWEN(AA),Arwen
3750,PATE.MOUILLER,"pâte, pâte à tarte"
879,ASCENSEUR,ascenseur
4088,DEGOUTANT,"dégoutant, dégueulasse, immonde, pas bon"
3781,HARICOT,haricot
500,SANTE,"santé, sain, à ta santé, à votre santé"
88,BUT,"but, objectif"
3969,PLEIN.PLUSIEURS,"plein, plusieurs, beaucoup"
2006,NS:GILLES-BLINCHE(ENTRENATEUR),gilles-blinche
3981,NS:VIERGE-NOIRE(V-NOIR),Vierge Noire
327,LS,"signe, signer, langue des signes"
1273,ONCLE,oncle
1052,POURCENT,"pour-cent, pourcentage"
2386,ALLOCATION,"allocation, allocation familiale"
1786,COLERE,"colère, colérique, coléreux, en colère, engueuler"
1527,COUTEAU,couteau
3716,MOIS-6.B,six mois
1526,POIVRE,"poivre, poivrer"
515,SOURD,sourd
1445,ANNULER,annuler
3077,GLACE.ATTENDRE,"glace, sorbet, crème"
1112,FACON,"façon, moyen"
268,FUMER,"fumer, cigarette"
3648,PATE.MASSER,"pâte, plasticine, masser"
4026,COL-ROULE,vêtement col roulé
727,ENNUYER,"s'ennuyer, ennui"
3777,TUTEUR(ASL),"tuteur, tutorat, aide pédagogique"
1661,NS:BELGIQUE(B-JOUE),"Belgique, belge"
3501,NS:PHILIPPINES(P-PARIS-PALM-DO,Les Philippines
1276,PLEURER,"pleurer, larmes, larmoyer"
303,IMAGINER,"imaginer, imagination, imaginaire, rêve, cauchemard"
3968,AFFAIRE(LSF),affaire
2094,BIENTOT,"bientôt, à bientôt, à tantôt, tantôt"
202,EGAL.MATH,"égal, égalité, équivaut"
3055,JANTE.PNEU,"jante, pneu, eliver"
695,RIVIERE,rivière
3163,VOIX.GORGE,voix
18,ALLER,"aller, se déplacer"
1716,CIBLE,"cible, cibler, zoom, zoomer"
4140,GOURMAND,"gourmand, consommer"
3822,HARICOT.F,haricot
1841,NATIONALITE,nationalité
1627,NS:DANEMARK(8-POITRINE),"Danemark, danois"
3747,ENFIN.DEPASSER,"enfin, finalement, fini, il était temps"
3220,ASSOCIATION(LSF),"association, absl"
366,MORT.DECEDER,"mort, mortel, mourir, décéder, décédé"
2,A-PARTIR,à partir de
841,ANGLAIS,"Anglais, anglais, Angleterre, Royaume-Uni"
2289,JUSQUE.LONG,"ça dure longtemps, long, longtemps"
2961,LUGE,luge
2423,RANGER.R,"ranger, cacher"
174,DIFFICILE,"difficile, dur"
3447,NS:JONATHAN(J-CHEVEUX),Jonathan Vandeschricks
3598,NS:JONATHAN(Y-DENTS),Jonathan Huet
2208,REGARDER.8,"regarder, capter, comprendre"
2250,MENU,menu
2219,BARBE,barbe
1782,ENGUEULER,"engueuler, gronder, en colère, être fâché, se fâcher"
3811,GRAINE.BILLE,"graine, granulé, gravier"
1876,TOT,(trop) tôt
3675,CONTINUER.DEVANT,continuer
238,FABRIQUER,fabriquer
3658,AUTRE.PT,"lui, elle, il, eux, pas moi, tourner en rond"
1585,TIROIR,tiroir
569,ZAVENTEM,Zaventem
3359,CAFE.CHEVEUX(LSCAMBODGE),café
347,MEME.MAFIA,"même, quand même"
3848,NS:ONSVAL(V-COMMUNISTE),Onsval
3495,NS:JULIETTE(J),Juliette Gokce
3047,SOUFFLER,souffler
557,HEURE-24,24 heures
2892,MAL.PATIENCE,"mal, aie, avoir mal, douloureux, douleur"
186,DOUCE,"doux, doucement"
4068,POURQUOI(LSF),pourquoi
2300,RAPPELER.1,"rappel, se rappeler, se souvenir, souvenir, penser, idée, penser"
2059,DE:VOIR-PAS-EXCUSE,"ne pas voir, invisible, flou, opaque"
418,PATIENCE,"patience, supporter, assumer"
2766,REMARQUER(LSF),"remarque, remarquer"
3786,VASE,"vase, pot, bocal"
639,BAGARRE,"bagarre, bagarrer, se battre"
1735,GYMNASTIQUE,gymnastique
4048,VIE.S,"vie, vivre"
1512,DEPASSER-TRAVERSER,"(se) dépasser, aller de l'avant"
705,NS:BRUXELLES(GARE),"Bruxelles, bruxellois"
4073,NS:NAPOLEON(NATIONAL),Napoléon Bonaparte
939,CASSER.JETER,"casser, briser, détruire"
1532,PIED,pied
1752,SURPRISE,surprise
2639,CON(LSUKRAINE),"con, conne, connard, débile"
717,DEVENIR,"devenir,changer, devenir, transformer"
3095,NS:MAXIME(M-LPC),Maxime De Volder
1519,TOUS-ENSEMBLE,"tous ensemble, en entier"
34,APPLAUDIR.ENTENDANT,"applaudir, bravo, allez-y, go"
125,CONCENTRER,"se concentrer, obséder"
2920,ATTENTION.1,"faire attention, attention, hein, pas bien, bon (pour débuter la phrase), ah!, gronder, lalalala"
3399,CHARBON,"charbon, mine"
1844,HETERO,hétérosexuel
3812,POELE.CHAUD,"poêle, réchaud"
1987,A-Z,de A à Z
2694,DE:CURIEUX-VOIR,"curieux, être curieux, curiosité, envie de voir"
1334,DOUCHE,"douche, se laver"
3063,GRAINE,graine
330,MAILLOT,maillot
3426,NS:JOSE(CLERC-ESPAGNE),José
3132,AVANT.DERRIERE,"Avant, temps passé, récent"
1119,INFLUENCE,"influence, influent"
2389,PAS.MENTON,"il n'y a pas, aucun, il n'y a rien, avoir rien"
2939,PRODUIT.COMBIEN,"produit, producteur"
3961,COUSINE.FEMME,cousine
2262,DE:BAILLER,"bailler, être fatigué, s'ennuyer"
3130,BOSSU,bossu
2191,ROBE,robe
1117,SEXE,"sexe, genre"
224,EURO,"euro, €"
2425,PILE.HEURE,"à l'heure, pile à l'heure"
518,SOUVENT,souvent
38,APRES,"après, dernier, dernière"
1693,CAPITALE,capitale
2252,DE:GORGE.PEUR,"gorge, peur"
2085,NS:LA-LOUVIERE(L-LUNE),La Louvière
1803,NUAGE,nuage
3451,CLIENT,client
3601,GRAMMAIRE.MAIN-G,grammaire
3660,MAMAN.MONSIEUR,"maman, mère"
3533,NS:DAVID(MILITAR-D),David
1893,NS:WALLON(8- VRAI),"Wallonie, wallon"
2609,ELEPHANT,éléphant
1538,FRAGILE,"fragile, sensible"
2482,ELOIGNER,"éloigner, distance, loin, différence entre.."
1638,DE:AH,ah bon
3407,OEIL-NOIR,"oeil au beurre noir, yeux bosses noirs"
423,PERSONNE.MOI,"personne, moi-même"
2321,PROGRESSER.LIFT,progresser
1755,AOUT,août
3920,BOWLING,bowling
1108,CERVEAU,"cerveau, tête"
2196,COMMANDER,"commander, ordre"
877,NEIGE,"neige, neiger"
3279,PRISE,prise électrique
2986,AFFIRMATION.TETE,"oui, accepter, hocher de la tête, acquiescer"
3656,PRES.COUDE,près de
660,PUBLIC,public
3401,CUISINE.MENAGE,cuisine
839,DESSOUS,"(en) dessous, sous, inférieur"
1652,NS:AFGHANISTAN(OUTIL),Afghanistan
1060,DEVELOPPER,"développer, développement, progresser"
298,IDEE,idée
4012,CIMENT.LAVER,"ciment, pâte"
3652,ENTENDRE.DIMINUER,"entendre moins bien, devienir sourd, déficient"
2083,PIPI,"pipi, faire pipi, aller à la toilette"
3429,COEUR.FORME,coeur
2594,TRAVAIL.FAIRE,"travail, travailler, boulot, atelier"
821,VITE.VITESSE,"vite, rapide, fort, puissance, accélérer"
842,AVALER,avaler
2754,NS:BERNADETTE(BISOUS-JOUE),Bernadette du CCP(Bruxelles)
2857,NS:COLRUYT(CARTON-S),colruyt
3576,REMARQUER.1,"remarquer, remarque"
87,BRUIT,"bruit, son"
2168,FIN.PAILLE,"fin, finir"
4004,FRONTIERE.DOUANE,"frontière, barrière, péage, douane, barrage"
3733,NS:SONNEMANS(G-MENTON),Sonnemans
554,VETEMENT,"habiller, s'habiller, habit, vêtement, vêtir, se vêtir"
3240,COEUR.AMOUR,"coeur, généreux"
1390,COORDINATEUR,"coordinateur, coordiner"
165,DEPOSER,"déplacer, déplacement, mouvoir, mouvement, abandonner, laisser, lâcher, laisser tomber,déposer, envoyer"
1231,DERRIERE,"derrière, à l'arrière"
2204,GOUVERNEMENT,gouvernement
3186,GRAND-PERE.HAUTEUR,grand-père
383,NORMAL,"normal, normalement"
2129,CANARD.NAGER,"canard, oie"
4062,TETE.SOULEVER,"soulever la tête, se relever, grandir"
3867,NS:MAKRO(CHIEN),Makro
3012,PLASTIQUE.OEUF,plastique
820,TACHE,tache
2247,DE:INTELLIGENT,"intelligent, savant, tout savoir, compétent, expert, bon état, bonne qualité, doué, talent"
3009,FORET.COLERE,"forêt, bois"
3528,NS:VAN-GOGH(COUPER-OREILLE),Van Gogh
2145,APRES-MIDI,après-midi
4030,CHRONOMETRE,"chronomètre, chrono, mesurer le temps"
3197,JUPE,"jupe, robe"
2456,MOIS-3.B,trois mois
3433,NS:GAETAN(SALUT-4),Gaetan
995,OK,"ok, d'accord"
134,CONTOURNER,"contour, détour, contourner"
1520,ENCEINTE,enceinte
1543,GANTS,gant
3480,MANGER.ANIMAUX,"manger, brouter"
2012,MEME.Y,"même, quand même"
1168,ADAPTER-NEG,"pas adapté, incompatible, ça ne va pas"
2273,DE:CROIRE-NAIF,croire
640,FACILE.10,"facile, pratique, facilement"
3291,SOUPE,soupe
3547,BOURGEOIS.B,bourgeois
3430,NS:CHAYMA(CH),Chayma
2162,VENDREDI,vendredi
3801,AFFECTION.SERRER,"affection, embarasser,"
2785,CRITIQUER,"critiquer, accuser"
1266,LOGOPEDIE.CASQUE(LSF),"logopédie, logopède, orthophoniste (France)"
244,FAIRE,faire
2091,NS:LOUVAIN-LA-NEUVE(B-MENTON-N,louvain la neuve
2044,NS:CANADA(6-POUMON),canada
3896,NS:TIMOTHY(T-NOUVEAU),Timothy
3670,APPELER.GESTE,"appeler, hey, regarde, non"
141,CRISE-CARDIAQUE,avoir une crise cardiaque
4119,DEODORANT,déodorant à rouleau
1164,SENS,"sens, direction"
4082,JAMBES.CROISER,croiser les jambes
2605,NS:VALERIE(V-TETE),Valerie
2646,BRILLANT,"brillant, briller"
4058,FONTAINE,"fontaine, volcan, éclabousser, déborder"
3008,PELLE.TOURNER,"pelle, peller"
1007,SUCRE,sucre
2846,CONCOURS,"concours, course"
2450,METRE,mètre
3087,NS:APEDAF(ALLOCATION),Apedaf
90,C-EST-CA,"c'est ça, c'est cela"
1347,CHER.5,cher
3475,MAFIA,mafia
4079,FOIS-2E,"deux fois, 2 X, deuxième fois, deuxième"
2759,PLANTER,planter
2587,DE:CHIC,"chic, maniaque"
1227,PEU,"peu, pas assez"
4075,NS:MARIE-JEANNE(A-NEZ-PETIT),"Marie-Jeanne Missa (veuve Christian Villers), amie de Martine Fraiture"
1004,MINUTE,minute
3654,NS:CORENTIN(C-LUNETTE),Corentin P
4007,ARES.A,are
1173,MICRO-ONDES,micro-ondes
3856,BRUN.RACE,"brun, brune, marron"
3775,CORPS(ASL),"corps, body"
3044,GRAND-MERE.HAUTEUR,grand-mère
2132,SEMAINE-3,trois semaines
2654,AVION.VOLE,avion
1621,NS:FINLANDE(1-MENTON),"Finlande, finlandais"
944,HOMME,"homme, masculin, mâle"
2086,NS:AMANDINE(10-YEUX),Amandine le Maire
462,QUI,qui
2634,AN-9-PASSE,il y a neuf ans
1047,ENVIRON,"environ, à peu près, plus ou moins, un peu, parfois, de temps en temps, moyen, bof"
1105,EUROPE,"Europe, européen"
2622,RESUMER.ABREGER,"résumé, résumer, abréger, en conclusion"
2771,TAIS-TOI,"tais-toi, la ferme"
404,PARENTS,parents
1255,GRAND-PARENTS,grands-parents
3395,MIDI-APRES,après-midi
3705,FRERE(ASL),frère
3758,HIBOU-O-3,"hibou, chouette"
2460,COLLIER,collier
2394,NS:CHINE(LIGNE),"Chine, chinois"
951,PLANTE,"plante, végétal, palmier"
2495,ENTRE,"entre, au milieu"
3565,F3,forme 3
966,DANSER,danser
2566,DETTE,"dette, emprunt"
2418,DIFFICILE.RAMPER,difficile
649,LEVER,"lever, se lever"
3136,NOYER,noyer
4052,PIECE,"pièce, pièce de monnaie, morceau"
814,RESPONSABLE,"responsable, responsabilité"
907,BATIMENT,"bâtiment, immeuble, tour, appartement"
3803,COIFFEUR.COOL,"coiffeur, raser barbe"
1051,EFFONDRER,"effondrer, détruire, dissoudre, faire faillite, démonter, ecrouler"
3272,ENDROIT-S,"endroit, lieu, place, surface, local"
2081,OUVRIER,ouvrier
126,CONDUIRE,"conduire quelqu'un (en voiture), guide, guider, conduire"
3847,MADAME.AVOIR,"madame, dame"
2148,HERBE,herbe
1333,COLLER,coller
3305,TENNIS,"jouer au tennis, tennisman, tennis, raquette de tennis"
1444,TRADUCTION.OREILLE-MOT,traduction orale vers l'écrit
1396,SOUTENIR,"soutien, soutenir"
1854,NS:FRANCOIS-HOLLANDE(DENTISTE),François Hollande
3422,NS:JEAN-CLAUDE(J-C),Jean Claude
1200,PECHE,pêche
3277,PIQURE.PRENDRE,"prise de sang, prélever"
1206,SEPARER,"séparer, divorcer, divorce, séparation, rupture, écarter"
1367,VOIR.MOI,"réflexion, se voir soi-même, introspection, se rendre compte de"
1073,CHER,cher
2182,NS:MONTEGNEE(M-NEZ),école Montégnée
446,PREVENIR,"prévenir, prévention, appeler l'attention de"
1082,DETAIL,"détail, détailler, petit à petit, une à la fois"
3025,GARDERIE,"garderie, garder, surveiller, éducateur"
1620,NS:SUEDE(POIL),"Suède, suédois"
1504,PIQURE,"piquer, piqure"
1713,COMMUN,"commun, même, identique"
3404,CONCIERGE,concierge
1710,COUPLE,"couple, copain, copine, petit ami(e)"
1586,EPLUCHER,"peler, éplucher"
3588,ROLE.TOURNER,"adapter, jouer un rôle"
506,SENTIMENT,"sentiment, sentimental, sentir, émotion, émotif, sensibilisation, sensibiliser"
11,ADORER,"adorer, aimer, passion, préféré, favorite"
3874,MER.COURBE,"mer, océan"
1858,PERIODE.COUPER,"période, périodique, phase, épisode"
3315,POMPE,pompe à vélo
3922,AIMER.HOBBY,"aimer, hobby, agréable"
2462,BALEINE,baleine
3388,BOUCHE.TRISTE,"triste, forme de bouche comme triste"
933,DORMIR,"dormir, dormeur, sommeil"
1541,MUR,"mur, bâtiment"
1721,AVION,"avion, voler dans les airs"
1624,CONVENTION,"convention, accord"
2758,PORTABLE.BALCON,pc portable
3339,TOUT.1D,"tout, tout le monde"
4015,BELIER,bélier
2955,CERVEAU.AVALER,"remplir dans la tête, trop de chose dans la tête"
3207,NS:FIEVET(61),Verhelest Germain
35,APPRENDRE,apprendre
3555,NS:MILORAD(GEL-5),Milorad
1837,HOMO,"homosexuel, gay, pd, homo, tapette"
2198,MER.EAU,"mer, eau"
467,RAPPELER.R,"rappel, (se) rappeler, (se) souvenir"
26,ANNEE,"ans, année"
386,NU,"nu, nudité"
447,PROFESSEUR,professeur
1049,SUPPRIMER,"supprimer, effacer"
1061,FREINER-VOITURE,"freiner (voiture), arrêter, frein à main"
3765,TURQUOISE,turquoise
558,VISUELLE,visuel
825,PRISON,prison
358,MOIS-1,un mois
2201,CANON,canon
1132,LOURD,"lourd, poids"
1449,NS:GALLAUDET(10-YEUX),"Gallaudet, Gally"
1031,CONTRE,"contre, opposé, défi, adversaire, ennemi"
2320,DE:EXCLUSION,"mettre à part, écarter, mettre de côté"
3773,SENATEUR(ASL),sénateur
3162,GRAMMAIRE.G,grammaire
3862,HACHE.COUPE,haché
570,ZERO,"zéro, aucun"
1859,JAMAIS-VU,(du) jamais vu
2995,MADELEINE,madeleine
1602,DRAGUER,"draguer, faire la cour"
2322,ENNEMI.PISTOLET,"ennemi, se battre"
1480,INDECIPHERABLE,"indéchiffrable, aide ELAN"
3208,PERSONNE.HUMAIN,"personne, quelqu'un, humain"
2163,RECREATION,"cour, récréation"
3400,BAR-CAFE,"bar, café"
687,CHOISIR,"choix, choisir, séléctionner, engager"
1125,TEXTE,texte
938,CARREAU,"carreau, verre"
398,OUBLIER,oublier
2073,ROLE.6,rôle
3539,HISTOIRE.SOURD,"histoire, légende, récit"
85,BRAILLE,braille
1861,INTERNAT.DANS,internat
3057,LATTE,latte
3531,NS:FATIMA(FACHER),Fatima M
1312,RECLAMER,"réclamer, réclamation, se plaindre"
2983,SABLE,sable
208,ENERVER.REMPLIR,"en avoir marre, énerver"
1903,TEMPS,"temps, on a le temps"
982,REFLECHIR.PARANO,"réfléchir, réflexion, se poser des questions, se demander, réaliser"
3069,DINDE,"dinde de Noël, dinde"
1454,EVALUATION.PERSONNE,"évaluer une personne, tester une personne"
275,GRAND.HAUTEUR,"grand, grandir, élèver, enfance"
3379,PARTAGER.MOITIE,partager avec plusieurs personnes
3249,CHAINE,chaine
2344,GAUFRE,gaufre
1573,ETUDIER.PERROQUET,"étudier par cœur, mémoriser"
2889,TECHNIQUE.2,technique
1884,REGION.ENDROIT,"région, endroit"
3635,AUTRE.CONCENTRER,"autre, concentrer à une autre chose, faire autre chose"
3845,TIMBRE,"timbre, collection"
3502,NS:JULIETTE(5-CHEVEUX),Juliette Gokce
1711,TROMPER.SEXE,tromper quelqu'un
199,EFFORT,"effort, (s') efforcer"
2642,NS:EMMA(E-SALUT),Emma
2390,NS:BRABANT-WALLON(W),Brabant Wallon
2546,BISOUS,"bisou, baiser"
2421,CARTE.LIVRE,"carte, menu"
3371,GRACE,"grâce à, merci à, à partir de"
3500,NS:JULIETTE(JUILLET),Juliette Gokce
1905,OUI-NON,oui ou non
776,BISCUIT,biscuit
2248,DEMAIN.PLUSIEURS,"demain, après-demain, plusieurs"
797,OUVRIR,"ouvrir, ouverture, plusieurs choix, ouvert"
983,VER,"ver de terre, lombric, chenille"
2131,COUSIN,"cousin, cousine"
253,FETE,"fête, fêter, faire la fête"
3460,NS:CAPUCINE(FLEUR-COEUR),Capucine Daro
3614,POKER,Poker
2987,PORTE,porte
2223,DE:DECU,"déçu, découragé,décevoir, décourager, pfff, fatigué, surpris"
774,HAUT,"haut, hauteur, plafond"
3374,PHOTO.EXPRESSION,"photographe, photo"
1142,TRAIN,"train, tracteur"
231,EXEMPLE,"exemple, par exemple"
3334,VOCABULAIRE.V,vocabulaire
779,OPERER,"opérer, opération (chirurgicale)"
2104,PROMENER,"promener, promenade"
3234,VERSION,version
452,PSYCHOLOGIQUE,psychologie
1739,FLASHY,"flashy, évident, mettre en évidence, mettre en avant, vif"
598,POUVOIR.P,"pouvoir, capable"
1912,DOUER,"doué, talent, talentueux"
229,EXCELLENT,"excellent, parfait, merveilleux, formidable, délicieux, c'est très bon, magnifique, beau"
3285,STRATEGIE,"stratégie, stratège, réglage, régler"
1704,ASSASSINER,"assassiner, tuer au couteau, meurtre, assassin, meurtrier"
3784,COW-BOY,cow-boy
348,QUAND-MEME,"quand même, même"
1996,VANILLE.V,vanille
960,DEFAUT.ESSAYER,"défaut, faute,"
3213,PETANQUE,"jouer de la pétanque, lancer une balle de pétanque, bowling"
952,BOIS,"bois, chiant, insister"
266,FRANCAIS.LS,français signé
1993,INSCRIRE,"inscrire, inscription"
3105,DORMIR.MAINS,"dormir, endromir"
1789,ETIQUETTE,"étiquette, stéréotype"
1823,MAJORITE,"majorité, supérieur"
4061,VASE.COUVERCLE,"couvercle, ouvrir un couvercle, pot, boite de conserve"
1071,ACQUERIR,"acquérir, mieux comprendre"
3103,AIMER.PLAISIR,aimer
2057,DE:ODEUR-ARGENT,sentir l'argent
3908,DIPLOME.SIGNER,"diplôme, diplômer"
1063,POLITIQUE,"politique, politicien"
638,FACHER,"fâcher, être fâché, se fâcher"
3719,GENOU,"genoux, genou"
2700,GROTTE.2M,"grotte, caverne"
3457,NS:MURIELLE(MUMU),Murielle Bertrand
2674,ASSEMBLEE,"congrès, assemblée"
2491,ENSEMBLE-TOUJOURS.A,"ensemble, couple longtemps"
1232,ENTREPRISE,"entreprise, usine"
278,HABITUDE,"(avoir l') habitude, comme d'habitude, être habitué"
3161,QUITTER,"Quitter l'école, partir, être diplômé"
624,COULEUR,"couleur, coloré"
1473,DICTEE,"dictée, dicter"
633,ECHAPPER,"échapper, enfuir, réfugié"
3356,CHAUFFAGE,"chauffage, chauffer, radiateur"
538,TRADUCTION,"traduction, traduire, interpréter, interprète"
2809,NS:LAURENCE(PAPILLON-CHEVEUX),Laurence Meurant
2615,NS:THOMAS(MEDICAMENT),Thomas Clair
3632,MOBILETTE,"mobilette, scooter"
3205,NS:DOMINIK(61),Dominique Gretzer
2272,DE:MICROBE-ACIDE,"gratter, rouiller, devenir rouillé"
2532,TOTAL.ENSEMBLE,"tous ensemble, total"
2004,NS:SKYPE(NUAGE),Skype
259,FIN,"fin, doucement, doué, fluide"
1989,FITNESS,"faire du sport, faire du fitness, se muscler"
1222,FRIGO,"frigo, réfrigérateur"
3585,LOUP,"loup, louve"
4000,HUMIDE(LSF),"mouiller, mouillé, humide"
1972,INSULTE,"insulte, injure"
431,PING-PONG,"ping-pong, pongiste"
2562,UNION,"union, uni"
2169,AN-4,quatre ans
2704,CROCODILE,crocodile
1952,FIXE,"fixe, fixer, ne pas bouger"
1194,FONDRE,"fondre, dégeler, refroidir, dissoudre, liquide, diarrhée"
1302,PENDANT,"pendant, pendant que"
3644,PIED.TAPER,"taper du pied, impatient, marcher"
1079,ROLE,role
2035,ARRIVER.APPORTER,arriver
3779,BIEN-BOUCHE,bien
3621,ROMAIN.MOUSTACHE,romain
22,AMI,"ami, amitié"
1349,EMBOUTEILLAGE,"embouteillage, bouchon, beaucoup de voitures"
